iter	Passed	Remaining
0	148	147911
1	149	74708
2	150	50063
3	151	37666
4	151	30225
5	152	25256
6	153	21709
7	153	19041
8	154	16968
9	154	15308
10	155	13954
11	155	12824
12	156	11868
13	156	11052
14	157	10343
15	158	9717
16	158	9170
17	159	8680
18	159	8244
19	160	7853
20	162	7574
21	163	7246
22	163	6945
23	164	6673
24	164	6419
25	165	6184
26	165	5968
27	166	5767
28	166	5585
29	167	5410
30	167	5247
31	168	5096
32	169	4952
33	169	4817
34	170	4689
35	170	4569
36	171	4453
37	175	4446
38	176	4356
39	177	4257
40	177	4162
41	178	4077
42	179	3994
43	179	3910
44	180	3830
45	181	3761
46	181	3688
47	182	3618
48	182	3551
49	183	3492
50	184	3431
51	185	3380
52	186	3328
53	186	3275
54	187	3224
55	188	3173
56	188	3123
57	189	3077
58	190	3042
59	191	3004
60	192	2967
61	193	2927
62	194	2886
63	194	2845
64	195	2807
65	195	2770
66	196	2733
67	198	2713
68	199	2685
69	200	2662
70	203	2668
71	204	2637
72	205	2609
73	206	2581
74	207	2558
75	208	2529
76	208	2500
77	209	2474
78	210	2448
79	211	2427
80	212	2409
81	213	2386
82	213	2358
83	214	2333
84	214	2310
85	215	2287
86	215	2264
87	216	2241
88	216	2219
89	217	2197
90	217	2176
91	218	2156
92	219	2136
93	219	2116
94	220	2097
95	220	2079
96	221	2062
97	222	2048
98	223	2035
99	224	2019
100	224	2002
101	225	1985
102	226	1968
103	226	1953
104	227	1939
105	228	1924
106	228	1909
107	229	1893
108	229	1879
109	230	1864
110	230	1849
111	231	1834
112	231	1820
113	232	1808
114	235	1811
115	236	1800
116	236	1787
117	237	1774
118	237	1761
119	238	1748
120	238	1735
121	239	1722
122	239	1710
123	240	1698
124	241	1691
125	242	1679
126	242	1667
127	243	1656
128	243	1645
129	244	1635
130	247	1640
131	247	1630
132	248	1620
133	249	1609
134	249	1599
135	250	1589
136	250	1579
137	251	1569
138	251	1560
139	252	1550
140	252	1541
141	253	1530
142	253	1521
143	254	1512
144	255	1504
145	255	1495
146	256	1487
147	258	1488
148	259	1479
149	259	1471
150	260	1462
151	260	1454
152	261	1445
153	261	1437
154	262	1429
155	262	1421
156	263	1413
157	263	1405
158	264	1397
159	264	1390
160	265	1381
161	265	1373
162	266	1366
163	266	1359
164	267	1351
165	267	1344
166	268	1337
167	268	1330
168	270	1328
169	270	1322
170	271	1315
171	271	1309
172	272	1302
173	273	1296
174	273	1289
175	274	1283
176	274	1276
177	275	1270
178	275	1264
179	276	1258
180	276	1252
181	277	1246
182	278	1241
183	278	1235
184	279	1229
185	279	1224
186	280	1218
187	280	1212
188	282	1213
189	283	1207
190	283	1202
191	284	1197
192	285	1191
193	285	1186
194	286	1180
195	286	1175
196	287	1170
197	287	1165
198	288	1160
199	288	1154
200	289	1150
201	289	1145
202	290	1140
203	290	1135
204	291	1130
205	291	1125
206	292	1120
207	293	1115
208	293	1111
209	294	1108
210	295	1103
211	295	1099
212	296	1094
213	296	1089
214	297	1084
215	297	1080
216	298	1075
217	298	1071
218	299	1066
219	299	1062
220	300	1057
221	300	1053
222	301	1049
223	301	1045
224	302	1041
225	302	1036
226	303	1032
227	303	1029
228	304	1025
229	305	1022
230	306	1021
231	307	1019
232	308	1015
233	309	1011
234	309	1007
235	310	1004
236	310	1000
237	311	996
238	311	992
239	312	988
240	312	984
241	313	980
242	313	976
243	314	972
244	314	969
245	315	965
246	315	961
247	316	958
248	316	954
249	319	957
250	319	953
251	320	950
252	320	946
253	321	943
254	321	939
255	322	936
256	322	933
257	323	929
258	323	926
259	324	923
260	324	919
261	325	916
262	325	913
263	326	909
264	326	906
265	327	903
266	327	900
267	328	897
268	328	893
269	329	892
270	330	889
271	331	886
272	331	883
273	332	880
274	332	877
275	333	874
276	333	871
277	334	868
278	334	865
279	335	862
280	335	859
281	336	856
282	336	853
283	337	850
284	337	847
285	338	844
286	338	841
287	339	839
288	339	836
289	340	833
290	340	830
291	341	828
292	342	826
293	342	823
294	343	820
295	343	818
296	344	815
297	344	812
298	345	809
299	345	807
300	346	804
301	347	802
302	347	799
303	348	796
